filename,width,height,class,xmin,ymin,xmax,ymax
0001.jpg,1280,720,disc,757,15,1101,300
0002.jpg,1280,720,disc,771,31,1183,403
0003.jpg,1280,720,disc,733,26,1130,390
0004.jpg,1280,720,disc,754,40,1157,397
0005.jpg,1280,720,disc,766,63,1271,532
0006.jpg,1280,720,disc,748,186,1257,657
0007.jpg,1280,720,disc,767,126,1269,573
0008.jpg,1280,720,disc,776,64,1219,484
0009.jpg,1280,720,disc,786,76,1183,434
0010.jpg,1280,720,disc,789,96,1152,432
0011.jpg,1280,720,disc,799,109,1185,450
0012.jpg,1280,720,disc,787,162,1119,468
0013.jpg,1280,720,disc,786,49,1133,362
0014.jpg,1280,720,disc,791,3,1136,283
0015.jpg,1280,720,disc,772,4,1147,251
0016.jpg,1280,720,disc,795,100,1115,413
0017.jpg,1280,720,disc,724,1,1013,186
0018.jpg,1280,720,disc,441,373,887,720
0019.jpg,1280,720,disc,446,370,884,720
0020.jpg,1280,720,disc,450,368,874,720
0021.jpg,1280,720,disc,498,322,962,720
0022.jpg,1280,720,disc,716,5,1280,393
0023.jpg,1280,720,disc,768,1,1280,450
0024.jpg,1280,720,disc,813,17,1163,386
0025.jpg,1280,720,disc,786,115,1136,452
0026.jpg,1280,720,disc,796,39,1126,286
0027.jpg,1280,720,disc,775,129,1145,486
0028.jpg,1280,720,disc,773,159,1180,547
0029.jpg,1280,720,disc,791,11,1181,370
0030.jpg,1280,720,disc,748,6,1166,338
0031.jpg,1280,720,disc,769,16,1146,304
0032.jpg,1280,720,disc,762,98,1173,434
0033.jpg,1280,720,disc,676,86,1087,537
0034.jpg,1280,720,disc,631,155,1108,643
0035.jpg,1280,720,disc,648,38,1259,604
0036.jpg,1280,720,disc,666,1,1238,312
0037.jpg,1280,720,disc,713,1,1228,365
0038.jpg,1280,720,disc,723,80,1146,500
0039.jpg,1280,720,disc,677,1,1033,269
0040.jpg,1280,720,disc,729,61,1059,379
0041.jpg,1280,720,disc,708,179,1039,497
0042.jpg,1280,720,disc,714,17,1002,300
0043.jpg,1280,720,disc,715,141,1016,416
0044.jpg,1280,720,disc,725,169,1026,432
0045.jpg,1280,720,disc,708,131,1003,399
0046.jpg,1280,720,disc,721,97,1008,367
0047.jpg,1280,720,disc,700,108,1041,425
0048.jpg,1280,720,disc,701,1,1114,324
0049.jpg,1280,720,disc,735,14,1280,550
0050.jpg,1280,720,disc,729,7,1272,573
0051.jpg,1280,720,disc,726,13,1280,552
0052.jpg,1920,1080,disc,944,551,1193,817
0053.jpg,1920,1080,disc,921,539,1198,816
0054.jpg,1920,1080,disc,934,543,1167,793
0055.jpg,1920,1080,disc,845,548,1128,846
0056.jpg,1920,1080,disc,766,511,1074,874
0057.jpg,1920,1080,disc,790,527,1094,884
0058.jpg,1920,1080,disc,870,554,1134,834
0059.jpg,1920,1080,disc,918,561,1166,824
0060.jpg,1920,1080,disc,928,559,1171,813
0061.jpg,1920,1080,disc,901,555,1144,819
0062.jpg,1920,1080,disc,895,563,1115,784
0063.jpg,1920,1080,disc,954,562,1188,801
0064.jpg,1920,1080,disc,978,570,1226,792
0065.jpg,1920,1080,disc,1010,558,1293,804
0066.jpg,1920,1080,disc,942,557,1176,822
0067.jpg,1920,1080,disc,1028,544,1251,743
0068.jpg,1920,1080,disc,1073,512,1307,734
0069.jpg,1920,1080,disc,602,331,880,634
0070.jpg,1920,1080,disc,624,372,895,666
0071.jpg,1920,1080,disc,807,529,1173,903
0072.jpg,1920,1080,disc,790,537,1205,946
0073.jpg,1920,1080,disc,842,536,1132,850
0074.jpg,1920,1080,disc,850,572,1107,823
0075.jpg,1920,1080,disc,892,561,1111,758
0076.jpg,1920,1080,disc,872,570,1107,783
0077.jpg,1920,1080,disc,842,535,1090,799
0078.jpg,1920,1080,disc,877,576,1119,825
0079.jpg,1920,1080,disc,903,575,1154,812
0080.jpg,1920,1080,disc,916,540,1183,797
